,id,date_initialized,date_updated,user_id
729,44494,,,47564
730,35878,2017-02-03 17:34:01+00:00,2017-08-18 23:02:24.929577+00:00,35905
731,45012,2017-03-27 19:53:44.744805+00:00,2017-06-04 19:11:41.654397+00:00,48131
732,44493,,,47563
733,33236,2017-01-25 06:52:05+00:00,2017-07-23 05:42:31.650603+00:00,35362
734,34017,,,36165
735,46355,,,49518
736,44499,,,47568
737,46359,,,49522
738,44500,,,47569
739,46361,,,49524
740,43285,2017-03-27 05:47:32.856083+00:00,2017-04-15 18:11:51.309048+00:00,46292
741,43286,,,46293
742,46362,,,49525
743,43287,,,46294
744,46364,,,49527
745,43288,,,46295
746,44506,,,47574
747,32875,,,34996
748,44507,,,47575
749,43289,,,46296
750,45475,,,48613
751,44511,,,47579
752,43296,,,46303
753,46369,,,49532
754,44515,,,47583
755,44514,,,47582
756,45480,,,48618
757,43303,2017-03-21 03:05:36.256230+00:00,2017-05-31 01:33:36.688925+00:00,25892
758,46375,,,49539
759,44518,,,47586
760,45481,,,48619
761,43305,,,46309
762,45484,,,48622
763,46377,,,49541
764,46378,,,49542
765,45487,2017-03-28 18:04:19.588053+00:00,2017-05-08 17:44:15.701293+00:00,48625
766,45488,,,48626
767,46381,,,49545
768,45490,,,48628
769,46382,,,49547
770,44528,,,47597
771,43313,,,46314
772,44530,2017-03-24 02:26:46.094223+00:00,2017-05-31 15:43:44.717536+00:00,47599
773,43073,,,38556
774,46385,,,49549
775,32357,2017-03-04 02:53:13.064767+00:00,2018-10-29 16:51:21.453021+00:00,7988
776,43319,,,46320
777,43321,,,46322
778,45498,,,48638
779,46390,2017-03-30 15:39:54.698400+00:00,2017-08-15 19:11:48.626366+00:00,49554
780,46391,,,49555
781,46392,,,49556
782,43323,,,46324
783,44542,,,47611
784,46393,,,49557
785,46394,,,49558
786,44543,,,47612
787,43324,,,46325
788,46395,,,49559
789,46396,,,49560
790,46397,,,49561
791,44547,,,47616
792,45508,,,48650
793,45507,,,48649
794,45509,,,48651
795,44548,,,47617
796,43328,2017-03-21 05:48:53.806203+00:00,2017-05-08 17:29:55.524826+00:00,45461
797,46399,2017-03-30 16:21:42.107456+00:00,2017-04-17 13:45:00.690623+00:00,49563
798,46400,,,49564
799,44549,,,47618
800,44550,,,47619
801,46401,,,49566
802,43333,,,46335
803,43335,,,46337
804,44555,,,47625
805,45516,,,48658
806,43337,,,46339
807,43338,,,46340
808,44558,,,47627
809,46407,,,49572
810,43339,,,46341
811,45518,,,48660
812,46368,,,49531
813,45519,,,48661
814,46409,,,49574
815,44561,,,47630
816,46410,,,49565
817,45521,,,48663
818,45522,,,48664
819,44566,,,47635
