,id,date_cancelled,date_resumed
169,6700,2017-01-28 08:16:35.147627+00:00,2017-01-28 08:19:16.323225+00:00
170,6701,2017-01-28 08:21:48.540606+00:00,
171,6423,2017-01-20 04:06:40.328823+00:00,2017-01-28 22:31:32.724052+00:00
172,6729,2017-01-29 01:03:10.019040+00:00,
173,6732,2017-01-29 14:54:04.467707+00:00,
174,6727,2017-01-28 23:23:26.513653+00:00,2017-01-30 23:53:11.135401+00:00
175,6658,2017-01-27 18:05:43.059250+00:00,2017-01-31 23:53:14.651746+00:00
176,6664,2017-01-27 19:42:49.935278+00:00,2017-02-08 01:52:27.881994+00:00
177,6694,2017-01-28 04:00:40.145970+00:00,2017-02-10 17:15:40.420322+00:00
178,6678,2017-01-27 22:41:52.752083+00:00,2017-07-06 06:19:29.909858+00:00
179,6741,2017-01-30 05:45:12.047321+00:00,
180,6743,2017-01-30 14:44:21.509161+00:00,
181,6744,2017-01-30 15:00:39.950618+00:00,
182,6747,2017-01-30 16:36:43.533494+00:00,2017-01-30 16:39:25.809131+00:00
183,6748,2017-01-30 17:04:34.877426+00:00,
184,6749,2017-01-30 17:04:53.764327+00:00,
185,6750,2017-01-30 17:05:20.549061+00:00,
186,6752,2017-01-30 17:25:03.387672+00:00,
187,6707,2017-01-28 18:01:59.495741+00:00,2017-01-30 18:03:16.729519+00:00
188,6754,2017-01-30 18:17:32.696575+00:00,
189,6755,2017-01-30 18:27:16.498129+00:00,
190,6756,2017-01-30 18:49:13.033845+00:00,
191,6759,2017-01-30 19:56:03.908574+00:00,
192,6767,2017-01-30 21:21:26.691081+00:00,
193,6768,2017-01-30 22:30:33.416104+00:00,
194,6770,2017-01-30 23:05:08.579769+00:00,
195,6771,2017-01-30 23:07:05.487340+00:00,
196,6777,2017-01-31 04:29:39.471266+00:00,
197,6780,2017-01-31 05:44:17.631605+00:00,
198,6782,2017-01-31 06:14:05.474533+00:00,
199,6783,2017-01-31 06:59:51.847932+00:00,
200,6785,2017-01-31 14:57:01.745454+00:00,
201,6786,2017-01-31 15:34:32.377504+00:00,
202,6787,2017-01-31 15:40:10.022846+00:00,
203,6793,2017-01-31 18:48:02.881612+00:00,
204,6794,2017-01-31 19:14:09.890586+00:00,
205,6795,2017-01-31 19:55:59.302487+00:00,
206,6798,2017-01-31 20:49:35.532846+00:00,
207,6774,2017-01-31 00:01:06.998363+00:00,2017-02-01 18:17:56.608657+00:00
208,6801,2017-01-31 22:13:14.115258+00:00,2017-02-04 20:55:17.651040+00:00
209,6930,2017-02-04 21:34:28.557677+00:00,
210,6761,2017-01-30 20:03:25.872861+00:00,2017-03-25 17:27:49.637454+00:00
211,6778,2017-01-31 04:51:01.803757+00:00,2017-04-09 17:28:52.911769+00:00
212,6758,2017-01-30 19:50:05.525212+00:00,2017-07-18 00:01:21.478932+00:00
213,6932,2017-02-04 21:51:40.428292+00:00,2017-08-31 13:54:56.533995+00:00
214,6788,2017-01-31 16:29:20.688053+00:00,2018-01-12 05:49:09.172159+00:00
215,6802,2017-01-31 22:18:45.298126+00:00,
216,6804,2017-01-31 23:32:24.038484+00:00,
217,6809,2017-02-01 00:25:15.910236+00:00,
218,6821,2017-02-01 04:16:39.344788+00:00,2017-02-01 04:19:41.699681+00:00
219,6823,2017-02-01 09:43:41.178313+00:00,
220,6824,2017-02-01 14:40:05.536690+00:00,
221,6830,2017-02-01 17:52:18.123305+00:00,
222,6831,2017-02-01 17:53:19.150431+00:00,
223,6834,2017-02-01 18:20:47.554482+00:00,
224,6835,2017-02-01 18:21:06.729511+00:00,
225,6837,2017-02-01 18:53:34.001360+00:00,
226,6839,2017-02-01 19:18:03.941894+00:00,
227,6838,2017-02-01 19:09:16.032765+00:00,2017-02-01 19:18:58.458421+00:00
228,6841,2017-02-01 19:36:24.714270+00:00,
229,6843,2017-02-01 20:18:19.612697+00:00,
230,6846,2017-02-01 21:54:22.149038+00:00,2017-02-01 21:54:48.310547+00:00
231,6847,2017-02-01 22:17:51.853264+00:00,
232,6848,2017-02-01 22:33:05.183671+00:00,
233,6849,2017-02-02 00:21:41.162828+00:00,
234,6852,2017-02-02 01:40:00.994313+00:00,
235,6856,2017-02-02 03:33:20.465729+00:00,
236,6854,2017-02-02 01:52:09.753058+00:00,2017-02-03 18:11:38.512489+00:00
237,6845,2017-02-01 21:16:19.059031+00:00,2017-02-07 20:27:47.749746+00:00
238,7393,2017-02-18 00:37:19.012825+00:00,2017-02-24 03:55:12.453534+00:00
239,8160,2017-03-09 17:50:01.304726+00:00,
240,8362,2017-03-15 15:01:52.597163+00:00,
241,8434,2017-03-16 20:51:11.762679+00:00,
242,8908,2017-03-29 02:01:40.238393+00:00,2017-04-15 00:33:06.986679+00:00
243,8811,2017-03-25 19:34:06.488403+00:00,2017-05-04 18:08:15.588292+00:00
244,6931,2017-02-04 21:35:25.409344+00:00,2017-07-13 21:28:23.311228+00:00
245,6833,2017-02-01 18:20:34.722245+00:00,2017-11-13 20:08:54.108433+00:00
246,6814,2017-02-01 02:11:05.839057+00:00,2018-01-12 05:35:29.292911+00:00
247,6829,2017-02-01 17:47:48.550074+00:00,2018-01-17 23:27:42.330250+00:00
248,6810,2017-02-01 00:41:36.533848+00:00,2018-04-05 01:56:33.154811+00:00
249,6868,2017-02-02 21:36:17.401991+00:00,
250,6864,2017-02-02 16:27:41.501621+00:00,2017-02-02 22:10:30.780984+00:00
251,6873,2017-02-03 00:41:06.297887+00:00,
